record_id,adult,s_adult,foal,habitat,equine_zone,total
1.90314E+11,6,3,0,Cutblock,SUNDRE EQUINE ZONE,9
1.90314E+11,2,1,0,Industrial,SUNDRE EQUINE ZONE,3
1.90314E+11,1,0,0,Industrial,SUNDRE EQUINE ZONE,1
1.90314E+11,3,2,0,Roadside,CLEARWATER EQUINE ZONE,5
1.90314E+11,2,2,0,Industrial,SUNDRE EQUINE ZONE,4
1.90314E+11,2,0,0,Roadside,CLEARWATER EQUINE ZONE,2
1.90314E+11,6,3,0,Roadside,CLEARWATER EQUINE ZONE,9
1.90314E+11,8,4,0,Industrial,CLEARWATER EQUINE ZONE,12
1.90314E+11,5,2,0,Forest_Mixedwood,CLEARWATER EQUINE ZONE,7
1.90314E+11,3,1,0,Cutblock,SUNDRE EQUINE ZONE,4
1.90314E+11,2,1,0,Cutblock,SUNDRE EQUINE ZONE,3
1.90314E+11,5,2,0,Cutblock,SUNDRE EQUINE ZONE,7
1.90314E+11,7,3,0,Cutblock,SUNDRE EQUINE ZONE,10
1.90314E+11,11,4,0,Cutblock,SUNDRE EQUINE ZONE,15
1.90314E+11,10,2,0,Industrial,SUNDRE EQUINE ZONE,12
