OBJECTID,RECORD_ID,WYPTID,Adult_T,SAdult_T,Foal_T,Habitat,DataDate,Comment,EquineZne,Total,Colour2
102,190322165120,1326,2,1,0, ,2019-02-28, ,SUNDRE EQUINE ZONE,3, 
103,190322170627,1328,4,1,0,Meadow_Shrub,2019-02-28, ,SUNDRE EQUINE ZONE,5, 
104,190322170745,1329,5,0,0,Meadow_Shrub,2019-02-28,Above road.,SUNDRE EQUINE ZONE,5, 
105,190322171022,1330,1,0,0,Meadow_Riparian,2019-02-28,Along creek,SUNDRE EQUINE ZONE,1, 
106,190322172124,1331,5,2,0,Meadow_Riparian,2019-02-28,Adjacent to RRA James,SUNDRE EQUINE ZONE,7, 
107,190322172324,1332,4,2,0,Roadside,2019-02-28, ,SUNDRE EQUINE ZONE,6, 
108,190322172721,1333,14,3,0,Meadow_Riparian,2019-02-28, ,SUNDRE EQUINE ZONE,17, 
109,190322172948,1334,7,2,0,Meadow_Riparian,2019-02-28, ,SUNDRE EQUINE ZONE,9, 
110,190325085830,1335,1,0,0,Meadow_Grassland,2019-02-28,Grass opening,SUNDRE EQUINE ZONE,1, 
111,190325090036,1336,2,0,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,2, 
112,190325090201,1337,4,2,0,Meadow_Riparian,2019-02-28,Along creek,SUNDRE EQUINE ZONE,6, 
113,190325090414,1338,5,0,0,Meadow_Grassland,2019-02-28, ,SUNDRE EQUINE ZONE,5, 
114,190325090631,1339,13,0,0,Cutblock,2019-02-28,Burn,SUNDRE EQUINE ZONE,13, 
115,190325090915,1341,3,0,0,Meadow_Riparian,2019-02-28, ,SUNDRE EQUINE ZONE,3, 
116,190325090957,1342,5,1,0,Forest_Conifer,2019-02-28, ,SUNDRE EQUINE ZONE,6, 
117,190325091146,1344,7,2,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,9, 
118,190325091404,1346,8,1,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,9, 
119,190325091556,1347,3,0,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,3, 
120,190325091838,1348,5,1,0,Meadow_Shrub,2019-02-28, ,CLEARWATER EQUINE ZONE,6, 
121,190325092057,1349,3,1,0,Meadow_Riparian,2019-02-28, ,CLEARWATER EQUINE ZONE,4, 
122,190325092252,1350,2,1,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,3, 
123,190325093346,1351,11,3,0,Meadow_Riparian,2019-02-28,Near Cutoff RRA,CLEARWATER EQUINE ZONE,14, 
124,190325093749,1352,11,0,0,Meadow_Grassland,2019-02-28,Harrison Flats.  All year round.,SUNDRE EQUINE ZONE,11, 
125,190325094046,1354,6,1,0,Meadow_Shrub,2019-02-28, ,CLEARWATER EQUINE ZONE,7, 
126,190325095303,1356,3,0,0,Meadow_Shrub,2019-02-28, ,CLEARWATER EQUINE ZONE,3, 
127,190325095510,1357,3,2,0,Meadow_Grassland,2019-02-28, ,CLEARWATER EQUINE ZONE,5, 
128,190325095612,1358,3,1,0,Meadow_Riparian,2019-02-28, ,CLEARWATER EQUINE ZONE,4, 
129,190325095926,1360,2,2,0,Meadow_Riparian,2019-02-28, ,CLEARWATER EQUINE ZONE,4, 
130,190325110715,1361,4,0,0,Industrial,2019-02-28,Right beside powerline.  2 in treeline,SUNDRE EQUINE ZONE,4, 
131,190325110908,1362,4,1,0,Industrial,2019-02-28, ,SUNDRE EQUINE ZONE,5, 
132,190325111039,1363,2,0,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,2, 
133,190325111235,1365,3,0,0,Industrial,2019-02-28, ,SUNDRE EQUINE ZONE,3, 
134,190325111445,1367,3,1,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,4, 
135,190325111649,1368,7,1,0,Meadow_Riparian,2019-02-28, ,CLEARWATER EQUINE ZONE,8, 
136,190325111802,1370,3,2,0,Meadow_Riparian,2019-02-28, ,CLEARWATER EQUINE ZONE,5, 
137,190325112957,1371,4,2,0,Forest_Conifer,2019-02-28, ,CLEARWATER EQUINE ZONE,6, 
138,190325113747,1372,3,1,0,Forest_Conifer,2019-02-28, ,SUNDRE EQUINE ZONE,4, 
139,190325113912,1374,8,2,0,Meadow_Grassland,2019-02-28, ,SUNDRE EQUINE ZONE,10, 
140,190325114326,1375,4,0,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,4, 
141,190325114526,1376,3,0,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,3, 
142,190325114746,1377,8,2,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,10, 
143,190325114932,1378,6,3,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,9, 
144,190325115108,1379,2,1,0,Industrial,2019-02-28, ,SUNDRE EQUINE ZONE,3, 
145,190325115329,1380,1,0,0,Industrial,2019-02-28,In clearing along cutline,SUNDRE EQUINE ZONE,1, 
146,190325115708,1381,3,2,0,Roadside,2019-02-28,On grass shoulder of roadway,CLEARWATER EQUINE ZONE,5, 
147,190325120019,1382,2,2,0,Industrial,2019-02-28, ,SUNDRE EQUINE ZONE,4, 
148,190325120236,1384,2,0,0,Roadside,2019-02-28,Grass shoulder,CLEARWATER EQUINE ZONE,2, 
149,190325121307,1385,6,3,0,Roadside,2019-02-28, ,CLEARWATER EQUINE ZONE,9, 
150,190325134138,1386,8,4,0,Industrial,2019-02-28,Near plant,CLEARWATER EQUINE ZONE,12, 
151,190325134559,1388,5,2,0,Forest_Mixedwood,2019-02-28, ,CLEARWATER EQUINE ZONE,7, 
152,190325134807,1389,3,1,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,4, 
153,190325134943,1390,2,1,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,3, 
154,190325135153,1392,5,2,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,7, 
155,190325135450,1393,7,3,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,10, 
156,190325135638,1394,11,4,0,Cutblock,2019-02-28, ,SUNDRE EQUINE ZONE,15, 
157,190325135832,1395,10,2,0,Industrial,2019-02-28, ,SUNDRE EQUINE ZONE,12, 
158,190325150631,1171,2,0,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
159,190325150829,1173,5,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
160,190325151911,1174,3,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
161,190325152103,1175,4,2,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
162,190326081618,1181,3,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
163,190326081902,1183,2,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
164,190326082033,1185,6,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
165,190326082211,1186,4,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
166,190326082625,1188,4,0,0,Industrial,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
167,190326082820,1189,6,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
168,190326083032,1190,5,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
169,190326083444,1191,2,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
170,190326083711,1192,3,2,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
171,190326091420,1193,2,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
172,190326091653,1194,3,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
173,190326091822,1196,3,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
174,190326091941,1197,3,2,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
175,190326092247,1199,8,1,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,9, 
176,190326092951,1200,5,1,0,Forest_Decidous,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
177,190326093138,1202,3,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
178,190326093449,1203,4,2,0,Industrial,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
179,190326094037,1204,4,3,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
180,190326094136,1205,7,0,0,Forest_Decidous,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
181,190326094542,1206,8,1,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,9, 
182,190326094733,1207,6,2,0,Forest_Decidous,2019-02-26, ,SUNDRE EQUINE ZONE,8, 
183,190326094947,1208,9,2,0,Forest_Conifer,2019-02-26,Old cutblock,SUNDRE EQUINE ZONE,11, 
184,190326095057,1209,5,2,0, ,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
185,190326105442,1210,5,1,0,Forest_Conifer,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
186,190326110432,1211,6,3,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,9, 
187,190326110600,1212,9,2,0,Meadow_Riparian,2019-02-26,Gate open,SUNDRE EQUINE ZONE,11, 
188,190326111617,1215,5,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
189,190326111741,1216,6,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
190,190326112311,1217,5,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
191,190326112436,1218,6,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
192,190326112639,1219,2,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
193,190326112836,1221,5,3,0,Roadside,2019-02-26,On road,SUNDRE EQUINE ZONE,8, 
194,190326113052,1222,6,3,0,Meadow_Shrub,2019-02-26, ,SUNDRE EQUINE ZONE,9, 
195,190326113151,1223,2,0,0, ,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
196,190326113730,1224,5,0,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
197,190326113911,1225,1,0,0,Meadow_Shrub,2019-02-26, ,SUNDRE EQUINE ZONE,1, 
198,190326114105,1226,2,0,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
199,190326114233,1228,3,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
200,190326114518,1229,4,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,5,White mare
201,190326114847,1230,5,1,0,Forest_Decidous,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
202,190326115137,1232,6,2,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,8, 
203,190326115649,1236,5,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
204,190326115801,1237,3,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
205,190326120125,1238,2,1,0,Industrial,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
206,190326120324,1239,6,2,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,8, 
207,190326120534,1240,7,2,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,9, 
208,190326121007,1241,5,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
209,190326124841,1242,9,2,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,11, 
210,190326125023,1243,1,0,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,1, 
211,190326125146,1244,1,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,1, 
212,190326125314,1246,6,1,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
213,190326125456,1247,4,1,0,Meadow_Shrub,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
214,190326125701,1248,4,0,0,Meadow_Grassland,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
215,190326125958,1250,12,2,0,Cutblock,2019-02-26,Spread across the area,SUNDRE EQUINE ZONE,14, 
216,190326130114,1251,5,2,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
217,190326130851,1253,2,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
218,190326131445,1254,4,2,0,Meadow_Grassland,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
219,190326131757,1256,6,2,0,Meadow_Grassland,2019-02-26, ,SUNDRE EQUINE ZONE,8, 
220,190326132113,1257,4,0,0,Meadow_Grassland,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
221,190326132324,1258,4,1,0,Meadow_Grassland,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
222,190326132620,1259,6,2,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,8, 
223,190326132757,1260,2,1,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,3,One palomino
224,190326132938,1261,5,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
225,190326140815,1262,5,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
226,190326141039,1263,5,1,0,Meadow_Grassland,2019-02-26,Knoll in meadow,SUNDRE EQUINE ZONE,6, 
227,190326141218,1264,16,5,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,21, 
228,190326141531,1265,3,0,0,Meadow_Grassland,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
229,190326141625,1266,2,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
230,190326141753,1267,10,2,0,Meadow_Shrub,2019-02-26, ,SUNDRE EQUINE ZONE,12, 
231,190326141922,1268,8,1,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,9, 
232,190326142054,1269,2,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
233,190326142214,1270,4,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
234,190326142347,1271,6,2,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,8, 
235,190326142458,1272,5,4,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,9, 
236,190326142621,1273,3,2,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
237,190326142717,1274,5,0,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
238,190326142813,1275,4,1,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
239,190326142901,1276,2,0,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
240,190326143129,1279,4,1,0,Meadow_Shrub,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
241,190326143332,1280,2,0,0,Cutblock,2019-02-19, ,SUNDRE EQUINE ZONE,2, 
242,190326143547,1281,2,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
243,190326143741,1283,2,1,0, ,2019-02-26,Cutblock Road,SUNDRE EQUINE ZONE,3, 
244,190326144416,1284,3,1,0,Meadow_Grassland,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
245,190326144545,1285,6,1,0,Meadow_Riparian,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
246,190326144649,1286,6,2,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,8, 
247,190326145847,1287,2,1,0,Forest_Mixedwood,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
248,190326150032,1288,5,4,0,Meadow_Shrub,2019-02-26, ,SUNDRE EQUINE ZONE,9, 
249,190326150827,1289,4,2,0,Forest_Decidous,2019-02-26, ,SUNDRE EQUINE ZONE,6, 
250,190326151555,1290,3,0,0,Forest_Decidous,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
251,190326152509,1291,3,1,0,Forest_Decidous,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
252,190326153116,1293,7,2,0,Forest_Decidous,2019-02-26, ,SUNDRE EQUINE ZONE,9, 
253,190326153228,1295,7,0,0,Forest_Decidous,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
254,190326153509,1297,7,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,7, 
255,190326153611,1298,2,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3,Blue roan stud
256,190326153903,1299,2,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
257,190326154017,1300,1,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,1, 
258,190326154157,1302,3,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
259,190326154334,1303,3,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,4, 
260,190326154554,1304,2,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
261,190326154806,1305,1,0,0,Cutblock,2019-02-26,Grass opening in clearing,SUNDRE EQUINE ZONE,1, 
262,190326155212,1306,5,0,0,Industrial,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
263,190326155543,1307,5,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
264,190326155707,1308,1,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,1, 
265,190326155836,1309,4,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,4,One grey
266,190326155956,1310,4,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
267,190327073723,1311,4,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
268,190327074116,1314,2,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,2, 
269,190327074427,1316,3,0,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
270,190327074637,1317,3,0,0,Industrial,2019-02-26, ,SUNDRE EQUINE ZONE,3, 
271,190327074743,1318,7,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,8,Red roan stud
272,190327074920,1319,4,1,0,Cutblock,2019-02-26, ,SUNDRE EQUINE ZONE,5, 
