OBJECTID,Adult_T,SAdult_T,Foal_T,Habitat,DataDate,EquineZne,Total,Colour2
161,4,2,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,6, 
162,3,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
163,2,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,2, 
164,6,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,7, 
165,4,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,4, 
166,4,0,0,Industrial,2019-02-26,SUNDRE EQUINE ZONE,4, 
167,6,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,7, 
168,5,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,6, 
169,2,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
170,3,2,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,5, 
171,2,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,2, 
172,3,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
173,3,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
174,3,2,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,5, 
175,8,1,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,9, 
176,5,1,0,Forest_Decidous,2019-02-26,SUNDRE EQUINE ZONE,6, 
177,3,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,4, 
178,4,2,0,Industrial,2019-02-26,SUNDRE EQUINE ZONE,6, 
179,4,3,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,7, 
180,7,0,0,Forest_Decidous,2019-02-26,SUNDRE EQUINE ZONE,7, 
181,8,1,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,9, 
182,6,2,0,Forest_Decidous,2019-02-26,SUNDRE EQUINE ZONE,8, 
183,9,2,0,Forest_Conifer,2019-02-26,SUNDRE EQUINE ZONE,11, 
184,5,2,0, ,2019-02-26,SUNDRE EQUINE ZONE,7, 
185,5,1,0,Forest_Conifer,2019-02-26,SUNDRE EQUINE ZONE,6, 
186,6,3,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,9, 
187,9,2,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,11, 
188,5,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,6, 
189,6,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,7, 
190,5,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,6, 
191,6,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,6, 
192,2,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,2, 
193,5,3,0,Roadside,2019-02-26,SUNDRE EQUINE ZONE,8, 
194,6,3,0,Meadow_Shrub,2019-02-26,SUNDRE EQUINE ZONE,9, 
195,2,0,0, ,2019-02-26,SUNDRE EQUINE ZONE,2, 
196,5,0,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,5, 
197,1,0,0,Meadow_Shrub,2019-02-26,SUNDRE EQUINE ZONE,1, 
198,2,0,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,2, 
199,3,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
200,4,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,5,White mare
201,5,1,0,Forest_Decidous,2019-02-26,SUNDRE EQUINE ZONE,6, 
202,6,2,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,8, 
203,5,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,5, 
204,3,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,4, 
205,2,1,0,Industrial,2019-02-26,SUNDRE EQUINE ZONE,3, 
206,6,2,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,8, 
207,7,2,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,9, 
208,5,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,6, 
209,9,2,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,11, 
210,1,0,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,1, 
211,1,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,1, 
212,6,1,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,7, 
213,4,1,0,Meadow_Shrub,2019-02-26,SUNDRE EQUINE ZONE,5, 
214,4,0,0,Meadow_Grassland,2019-02-26,SUNDRE EQUINE ZONE,4, 
215,12,2,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,14, 
216,5,2,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,7, 
217,2,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,2, 
218,4,2,0,Meadow_Grassland,2019-02-26,SUNDRE EQUINE ZONE,6, 
219,6,2,0,Meadow_Grassland,2019-02-26,SUNDRE EQUINE ZONE,8, 
220,4,0,0,Meadow_Grassland,2019-02-26,SUNDRE EQUINE ZONE,4, 
221,4,1,0,Meadow_Grassland,2019-02-26,SUNDRE EQUINE ZONE,5, 
222,6,2,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,8, 
223,2,1,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,3,One palomino
224,5,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,6, 
225,5,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,5, 
226,5,1,0,Meadow_Grassland,2019-02-26,SUNDRE EQUINE ZONE,6, 
227,16,5,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,21, 
228,3,0,0,Meadow_Grassland,2019-02-26,SUNDRE EQUINE ZONE,3, 
229,2,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
230,10,2,0,Meadow_Shrub,2019-02-26,SUNDRE EQUINE ZONE,12, 
231,8,1,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,9, 
232,2,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,2, 
233,4,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,4, 
234,6,2,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,8, 
235,5,4,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,9, 
236,3,2,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,5, 
237,5,0,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,5, 
238,4,1,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,5, 
239,2,0,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,2, 
240,4,1,0,Meadow_Shrub,2019-02-26,SUNDRE EQUINE ZONE,5, 
241,2,0,0,Cutblock,2019-02-19,SUNDRE EQUINE ZONE,2, 
242,2,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,2, 
243,2,1,0, ,2019-02-26,SUNDRE EQUINE ZONE,3, 
244,3,1,0,Meadow_Grassland,2019-02-26,SUNDRE EQUINE ZONE,4, 
245,6,1,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,7, 
246,6,2,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,8, 
247,2,1,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,3, 
248,5,4,0,Meadow_Shrub,2019-02-26,SUNDRE EQUINE ZONE,9, 
249,4,2,0,Forest_Decidous,2019-02-26,SUNDRE EQUINE ZONE,6, 
250,3,0,0,Forest_Decidous,2019-02-26,SUNDRE EQUINE ZONE,3, 
251,3,1,0,Forest_Decidous,2019-02-26,SUNDRE EQUINE ZONE,4, 
252,7,2,0,Forest_Decidous,2019-02-26,SUNDRE EQUINE ZONE,9, 
253,7,0,0,Forest_Decidous,2019-02-26,SUNDRE EQUINE ZONE,7, 
254,7,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,7, 
255,2,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3,Blue roan stud
256,2,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,2, 
257,1,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,1, 
258,3,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
259,3,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,4, 
260,2,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,2, 
261,1,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,1, 
262,5,0,0,Industrial,2019-02-26,SUNDRE EQUINE ZONE,5, 
263,5,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,5, 
264,1,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,1, 
265,4,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,4,One grey
266,4,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,5, 
267,4,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,5, 
268,2,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,2, 
269,3,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
270,3,0,0,Industrial,2019-02-26,SUNDRE EQUINE ZONE,3, 
271,7,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,8,Red roan stud
272,4,1,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,5, 
273,4,0,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,4, 
274,5,2,0,Industrial,2019-02-25,BRAZEAU EQUINE ZONE,7, 
275,3,0,0,Industrial,2019-02-25,BRAZEAU EQUINE ZONE,3, 
276,4,2,0,Industrial,2019-02-25,BRAZEAU EQUINE ZONE,6, 
277,2,0,0,Meadow_Riparian,2019-02-25,NORDEGG EQUINE ZONE,2, 
278,4,2,0,Meadow_Riparian,2019-02-25,NORDEGG EQUINE ZONE,6, 
279,6,0,0,Meadow_Riparian,2019-02-25,NORDEGG EQUINE ZONE,6, 
280,1,0,0,Meadow_Riparian,2019-02-25,NORDEGG EQUINE ZONE,1, 
281,6,3,0,Meadow_Riparian,2019-02-25,NORDEGG EQUINE ZONE,9, 
282,5,3,0,Industrial,2019-02-25,NORDEGG EQUINE ZONE,8, 
283,5,3,0,Meadow_Riparian,2019-02-25,NORDEGG EQUINE ZONE,8, 
284,9,1,0,Cutblock,2019-02-25,NORDEGG EQUINE ZONE,10, 
285,2,1,0,Cutblock,2019-02-25,NORDEGG EQUINE ZONE,3, 
286,9,2,0,Meadow_Riparian,2019-02-25,NORDEGG EQUINE ZONE,11,"3 white, one paint"
287,2,0,0,Meadow_Grassland,2019-02-25,NORDEGG EQUINE ZONE,2, 
288,3,0,0,Meadow_Shrub,2019-02-25,NORDEGG EQUINE ZONE,3, 
289,7,2,0,Cutblock,2019-02-25,NORDEGG EQUINE ZONE,9, 
290,7,0,0,Cutblock,2019-02-25,NORDEGG EQUINE ZONE,7, 
291,3,1,0,Industrial,2019-02-25,NORDEGG EQUINE ZONE,4, 
292,2,0,0,Industrial,2019-02-25,NORDEGG EQUINE ZONE,2, 
293,6,1,0,Meadow_Grassland,2019-02-25,NORDEGG EQUINE ZONE,7,4 Paints
294,4,0,0,Industrial,2019-02-25,NORDEGG EQUINE ZONE,4, 
295,1,0,0,Industrial,2019-02-25,NORDEGG EQUINE ZONE,1, 
296,8,3,0,Cutblock,2019-02-26,NORDEGG EQUINE ZONE,11, 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
